標題,真實新聞連結,標題_情感極性,標題_主觀性,全文_情感極性,全文_主觀性
A New Year of Gaming: GeForce NOW Adds More Than 20 New Titles in January - NVIDIA Blog,https://blogs.nvidia.com/blog/geforce-now-thursday-january-2024-new-games/,0.25757575757575757,0.4696969696969697,0.10318821639576362,0.4675430177788659
Optimizing video encoding with FFmpeg using NVIDIA GPU-based Amazon EC2 instances - AWS Blog,https://aws.amazon.com/tw/blogs/compute/optimizing-video-encoding-with-ffmpeg-using-nvidia-gpu-based-amazon-ec2-instances/,0.0,0.0,0.18204063188273717,0.39424373433583976
"Singapore joins China and the US as a key AI player, boosting Nvidia’s global revenue - KrASIA",https://kr-asia.com/singapore-joins-china-and-the-us-as-a-key-ai-player-boosting-nvidias-global-revenue,0.0,0.5,0.06164673046251992,0.3351111534664166
AMD Vs. Nvidia: Which AI Chip Stock Has More Upside Potential? - Barchart,https://www.barchart.com/story/news/23099733/amd-vs-nvidia-which-ai-chip-stock-has-more-upside-potential,0.25,0.75,0.12951924602384365,0.433752148226522
Intel Will Take Another Swing at Nvidia and AMD in 2024 - The Motley Fool,https://www.fool.com/investing/2024/01/04/intel-will-take-another-swing-at-nvidia-and-amd-in/,0.6,0.9,0.28537377431266725,0.5135355739773564
Nvidia In Surprise Low Pricing For RTX 40 Super Graphics Cards - Forbes,https://www.forbes.com/sites/antonyleather/2024/01/04/nvidia-in-surprise-low-pricing-for-rtx-40-super-graphics-cards/,0.16666666666666666,0.4833333333333333,0.16562999207365411,0.46647399548808
Nvidia Stock (NVDA): What to Expect in 2024 - Nasdaq,https://www.nasdaq.com/articles/nvidia-stock-nvda-what-to-expect-in-2024,0.0,0.0,0.11132591000548736,0.4127309310407902
Mysterious 'Skinny' Joe' Nvidia GPU spotted with a 700W TDP rating — theories abound about the new beastly silicon - Tom's Hardware,https://www.tomshardware.com/pc-components/gpus/mysterious-skinny-joe-nvidia-gpu-spotted-with-a-700w-tdp-rating-multiple-possible-roles-for-the-new-beastly-silicon,0.06818181818181818,0.7272727272727273,0.17113212388985588,0.519949904047842
"NVIDIA CEO Jensen Huang Titled As The “Best CEO of 2023”, Credits To The Company’s Success From AI - Wccftech",https://wccftech.com/nvidia-ceo-jensen-huang-titled-best-ceo-of-2023/,0.65,0.15,0.10199340998704065,0.4637612705765569
Nvidia to mass-produce modified AI chips for China in Q2: report - TechNode,https://technode.com/2024/01/04/nvidia-to-mass-produce-modified-ai-chips-for-china-in-q2-report/,0.0,0.0,0.11240860990860993,0.41838143338143347
Exclusive: Databricks research confirms that Intel's Gaudi bests Nvidia on price performance for AI accelerators - VentureBeat,https://venturebeat.com/ai/exclusive-databricks-research-confirms-that-intel-gaudi-bests-nvidia-on-price-performance-for-ai-accelerators/,0.0,0.0,0.24874366110080395,0.48502308802308797
Intel has sights on Nvidia with new GenAI spinoff - CTech,https://www.calcalistech.com/ctechnews/article/ihfgd8ma8,0.13636363636363635,0.45454545454545453,0.11404088276126166,0.45771219302025073
"Intel, AMD Unveil New AI Chips to Beat Nvidia’s H100 - CDOTrends",https://www.cdotrends.com/story/3730/intel-amd-unveil-new-ai-chips-beat-nvidias-h100,0.13636363636363635,0.45454545454545453,0.14829767954086398,0.32064740663432095
PC Gamers Should Keep an Eye on January 8 - GameRant,https://gamerant.com/new-nvidia-rtx-super-series-graphics-cards-4070-4080-4090-when-ces/,0.0,0.0,0.14058724517740917,0.5809037865595246
3 Things About Nvidia Stock That Smart Investors Know in 2024 - The Motley Fool,https://www.fool.com/investing/2024/01/04/3-things-about-nvidia-stock-smart-investors-know/,0.40714285714285714,0.7714285714285715,0.3225063157761101,0.5225154085894543
Welcome To 2024. It Promises To Be Quite The AI Ride! - Forbes,https://www.forbes.com/sites/karlfreund/2024/01/04/welcome-to-2024-it-promises-to-be-quite-the-ai-ride/,1.0,0.9,0.15321529245947857,0.5110729386892179
"3 Stocks That Have Turned $50,000 Into More Than $500,000 in Just 5 Years - The Motley Fool",https://www.fool.com/investing/2024/01/03/3-stocks-that-have-turned-50000-into-more-than-500/,0.55,0.7,0.30045365862080947,0.5037501294934208
[News] NVIDIA’s China-exclusive Chip H20 to Begin Production in Q2 by Wistron - TrendForce,https://www.trendforce.com/news/2024/01/04/news-nvidias-china-exclusive-chip-h20-to-begin-production-in-q2-by-wistron/,0.0,0.0,0.015457452994766429,0.3899150352135428
Nvidia GeForce RTX 4080 Super price leaks and it’s actually good - PCGamesN,https://www.pcgamesn.com/nvidia/rtx-4000-super-price-leaks,0.5166666666666666,0.6333333333333333,0.1788720538720538,0.5310395622895621
Ansys collaborates with Nvidia to improve sensors for autonomous cars - VentureBeat,https://venturebeat.com/games/ansys-collaborates-with-nvidia-to-improve-sensors-for-autonomous-cars/,0.4,0.7,0.19490527393753201,0.48605990783410136
"Viral post leads to claims of insider trading by Rep. Brian Higgins, lacks context - WKBW 7 News Buffalo",https://www.wkbw.com/news/i-team/viral-post-leads-to-claims-of-insider-trading-by-rep-brian-higgins-lacks-context,0.0,0.0,0.05883838383838384,0.3285353535353535
How Lightmatter Breaks Bandwidth Bottlenecks With Silicon Photonics - The Next Platform,https://www.nextplatform.com/2024/01/04/how-lightmatter-breaks-bandwidth-bottlenecks-with-silicon-photonics/,0.0,0.0,0.14869024451593255,0.4456758939327746
Nvidia’s rumored RTX 3050 6GB spotted at retailer – and leaked specs may not worry AMD much - TechRadar,https://www.techradar.com/computing/gpu/nvidias-rumored-rtx-3050-6gb-spotted-at-retailer-and-leaked-specs-may-not-worry-amd-much,0.2,0.2,0.2185955691948843,0.5109610043685382
Partners: Intel’s Hiring Of HPE’s Justin Hotard Is ‘Huge Coup’ In AI Talent Battle - CRN,https://www.crn.com/news/software/2024/partners-intel-s-hiring-of-hpe-s-justin-hotard-is-huge-coup-in-ai-talent-battle,0.4000000000000001,0.9,0.20542024460057245,0.4542792089513401
"Best graphics card in 2024 – Nvidia, AMD, and Intel GPUs tested - Club386",https://www.club386.com/best-graphics-card/,1.0,0.3,0.24676339391393157,0.4573527836162246
AMD’s new integrated graphics might beat popular Nvidia GPU - Digital Trends,https://www.digitaltrends.com/computing/amd-ryzen-8600g-igpu-leak/,0.24545454545454545,0.4515151515151515,0.2376636574807307,0.5602387111533451
