Date,NVDA_Close,NVDA_High,NVDA_Low,NVDA_Open,NVDA_Volume,IXIC_Close,IXIC_High,IXIC_Low,IXIC_Open,IXIC_Volume,NDX_Close,NDX_High,NDX_Low,NDX_Open,NDX_Volume,QQQ_Close,QQQ_High,QQQ_Low,QQQ_Open,QQQ_Volume,TW0050_Close,TW0050_Volume,TW2330_Close,TW2330_Volume,nvidia_Title_emotional_polarity,nvidia_Title_subjectivity,nvidia_content_emotional_polarity,nvidia_content_subjectivity,gpu_Title_emotional_polarity,gpu_Title_subjectivity,gpu_content_emotional_polarity,gpu_content_subjectivity,nasdaq_Title_emotional_polarity,nasdaq_Title_subjectivity,nasdaq_content_emotional_polarity,nasdaq_content_subjectivity,trump_Title_emotional_polarity,trump_Title_subjectivity,trump_content_emotional_polarity,trump_content_subjectivity,tsmc_Title_emotional_polarity,tsmc_Title_subjectivity,tsmc_content_emotional_polarity,tsmc_content_subjectivity
2023-01-03,14.303279876708984,14.983723050318702,14.08445930943246,14.838841304566728,401277000,10386.98046875,10613.0595703125,10309.16015625,10562.0595703125,4780650000,10862.6396484375,11093.099609375,10770.9296875,11038.419921875,4780650000,261.1134948730469,266.7113056415056,258.79340155342857,265.23039885823334,42335300,110.75,13899.0,453.0,22581.0,0.07679613829323131,0.23014631363468574,0.1674443446862561,0.4615771872042368,0.1044682621671258,0.2256654614325069,0.15278349107006217,0.46177685073686414,0.1002136752136752,0.2531986531986532,0.13701040983123156,0.44181313112486237,0.037235680985680975,0.17688145188145188,0.0901993899647413,0.4031514711886741,0.11319444444444444,0.2876388888888889,0.13241626812801374,0.38967374019342527
2023-01-04,14.73692512512207,14.840840075575478,14.22934158563889,14.555074914722184,431324000,10458.759765625,10515.2197265625,10337.6396484375,10467.8203125,5085380000,10914.7998046875,10981.4599609375,10785.5302734375,10949.33984375,5085380000,262.357421875,264.0456772094719,259.1882899665796,263.2459900001427,47754900,110.5,11908.0,449.5,18233.0,0.09235479797979798,0.2617464826839827,0.15345470452035836,0.4661618286368007,0.07476789958407604,0.2271334670231729,0.1497811941204816,0.4599896401875979,0.13656926406926406,0.24017195767195768,0.1498507579221746,0.4411477125466789,0.03203068632756132,0.15087031024531025,0.08149912311434543,0.40179582430259103,0.06999999999999999,0.06999999999999999,0.10810914607886382,0.40235320826962084
2023-01-05,14.253321647644045,14.552076644155658,14.136416855691811,14.479136454686978,389168000,10305.240234375,10393.2197265625,10295.25,10390.3095703125,4764270000,10741.2197265625,10842.330078125,10728.259765625,10837.25,4764270000,258.2503967285156,260.84692490058444,257.9344928310436,260.6791056627285,45396700,111.3,10075.0,458.5,20752.0,0.08435266284103492,0.2817753951474881,0.16064708946092077,0.4548872368173014,0.1636363636363636,0.4232323232323232,0.1440912718575338,0.46717276896465304,0.1326984126984127,0.2681257631257631,0.15920964459052048,0.47261470649149734,0.03552336028751123,0.14883947289607666,0.06794540894823803,0.39778358064377595,0.04074074074074073,0.17037037037037037,0.07036301045918375,0.3973092392598894
2023-01-06,14.846835136413574,14.997711535520914,14.0225107548316,14.462150107377472,405044000,10569.2900390625,10604.1396484375,10265.0400390625,10363.9599609375,5199780000,11040.349609375,11082.58984375,10696.419921875,10807.4599609375,5199780000,265.37841796875,266.5039213080454,257.0261142100647,259.99780939588175,54659700,111.8,9838.0,458.5,16635.0,0.10296442687747033,0.31749011857707504,0.15181553473621986,0.45094424062164384,0.13787878787878788,0.2668181818181818,0.1609929650195328,0.48204196252044185,0.19096296296296297,0.3223703703703703,0.1835260040304698,0.5010182167441293,0.06961958292603453,0.31531647116324535,0.0703579057531719,0.42177865380110396,0.11666666666666667,0.3761904761904762,0.14490973549209643,0.4260511561411161
2023-01-09,15.615205764770508,16.04285486212836,15.128604002009595,15.271487531503388,504231000,10635.650390625,10807.259765625,10619.1201171875,10662.099609375,5132190000,11108.4501953125,11304.83984375,11085.3203125,11133.0703125,5132190000,267.0963439941406,271.7858819327096,266.48424070492416,267.38263093321007,45568700,115.8,16946.0,481.0,57305.0,0.058308895405669595,0.3619257086999022,0.13972385924881453,0.4674578697325875,0.03630050505050505,0.25757575757575757,0.15011895114493592,0.4623089520422116,0.11889958700303528,0.22576379559138182,0.13480399351088684,0.4349634039378074,0.05735197006383446,0.24810758920928414,0.09311699472830448,0.4030035032014487,-0.009375000000000001,0.05208333333333333,0.11639190847928152,0.4224902092548873
2023-01-10,15.89597511291504,15.94893121673774,15.459332626456098,15.494303818205712,384101000,10742.6298828125,10743.669921875,10589.58984375,10607.7197265625,4710680000,11205.7802734375,11207.5595703125,11050.6796875,11069.0498046875,4710680000,269.357177734375,269.46579322928454,265.54632551297703,266.05969567047043,35247800,116.25,13729.0,486.0,36975.0,0.061600899100899095,0.34732350982350985,0.1520018192583112,0.48020712275209065,0.10856060606060605,0.27242424242424246,0.15989315067758442,0.47707918207983013,0.11945276945276946,0.2605512543012543,0.1542463084180898,0.4300388636533212,0.08466533466533464,0.24123052873052872,0.07876920271518935,0.4015024453007821,0.05,0.075,0.10716781268404685,0.43040175894766086
2023-01-11,15.98789882659912,16.01487714757313,15.550257708216126,15.827031344724569,353285000,10931.669921875,10932.4404296875,10762.73046875,10794.990234375,5284390000,11402.51953125,11403.8896484375,11220.75,11259.16015625,5284390000,274.01708984375,274.1257053351008,269.6434859726081,270.4333209534019,44077000,116.35,9631.0,484.5,25457.0,0.07325937950937951,0.24405325577200576,0.15028577660474632,0.47524432239965564,0.05981800766283526,0.3795498084291188,0.143373953257396,0.46532756343082193,0.13368551587301586,0.3176399911816578,0.15296598160793196,0.4427639730597216,0.15664853164853162,0.3487948987948988,0.11003152979086624,0.4132852186966262,0.02666666666666667,0.08999999999999997,0.10494197083204206,0.38400390056875294
2023-01-12,16.497480392456055,16.623376674174565,15.479314701266622,16.08681762259126,551409000,11001.099609375,11027.75,10797.1201171875,10969.259765625,5681240000,11459.6103515625,11500.8603515625,11246.01953125,11441.4501953125,5681240000,275.4979858398437,276.5346385626715,270.25557875795414,274.57983095637667,60600000,115.85,9044.0,486.5,25780.0,0.09167388167388167,0.23354256854256858,0.14530347415955672,0.45805438532075016,0.05128205128205129,0.31410256410256415,0.14415643841765138,0.4465914909647613,0.08625930059523809,0.2205952380952381,0.15845733262243625,0.4456448139300471,0.10112217017954722,0.2869502992453812,0.07885948995136924,0.4054393330334341,0.04061111111111111,0.0966111111111111,0.0731789470542769,0.35102678960625444
2023-01-13,16.88516616821289,16.908148056338185,16.15176778844737,16.264674246702192,447287000,11079.16015625,11084.009765625,10900.16015625,10906.3701171875,5077990000,11541.48046875,11547.9599609375,11347.599609375,11362.1298828125,5077990000,277.39361572265625,277.6404335453041,272.64484322524146,272.9805118485471,44802900,117.2,15940.0,500.0,93121.0,0.11468253968253969,0.31706349206349205,0.1551793941719439,0.45747607680864777,0.05076923076923076,0.30564102564102563,0.10862120144903138,0.4571894566640998,0.07162157287157286,0.14433621933621935,0.149914420273773,0.442231827656914,0.11004320805457168,0.28664444772399317,0.07550766847296551,0.4184914613880977,0.06666666666666667,0.06666666666666667,0.07230365963064382,0.3239879265026007
2023-01-17,17.68750762939453,17.713487319827372,16.885165521758307,16.885165521758307,511102000,11095.1103515625,11145.4404296875,11024.7197265625,11070.0,5138410000,11557.1904296875,11615.9501953125,11484.01953125,11531.5400390625,5138410000,277.95635986328125,279.24968280767695,276.02128649453607,277.19614170801424,36269700,118.1,16373.0,503.0,27930.0,0.14348043931377263,0.268207872374539,0.1677445490241451,0.4576642720577456,0.15011112399505258,0.23352156771799626,0.16982233798311816,0.45059234003362,0.134469696969697,0.2636363636363636,0.15195033792272497,0.46231862793789175,0.183041958041958,0.2723193473193473,0.08444406015227893,0.3794647019135089,0.08348214285714285,0.15613839285714284,0.10947738768332654,0.3965459522548457
